Max target: 99.22296713886932
Base: 0.5434879660606384
0.5542476065456867
0.6125 conv1
0.2709 layer1.0.conv1
0.6861 layer1.0.conv2
0.6861 layer1.0.conv3
0.3438 layer1.0.downsample.0
0.7458 layer1.1.conv1
0.5695 layer1.1.conv2
0.4095 layer1.1.conv3
0.7175 layer1.2.conv1
0.1899 layer1.2.conv2
0.1899 layer1.2.conv3
0.5217 layer2.0.conv1
0.6513 layer2.0.conv2
0.3438 layer2.0.conv3
0.5695 layer2.0.downsample.0
0.4685 layer2.1.conv1
0.9817 layer2.1.conv2
0.9202 layer2.1.conv3
0.0000 layer2.2.conv1
0.5217 layer2.2.conv2
0.4095 layer2.2.conv3
0.8146 layer2.3.conv1
0.6513 layer2.3.conv2
0.2709 layer2.3.conv3
0.6861 layer3.0.conv1
0.4685 layer3.0.conv2
0.5217 layer3.0.conv3
0.1899 layer3.0.downsample.0
0.9282 layer3.1.conv1
0.0999 layer3.1.conv2
0.0999 layer3.1.conv3
0.9113 layer3.2.conv1
0.8332 layer3.2.conv2
0.7941 layer3.2.conv3
0.7712 layer3.3.conv1
0.7712 layer3.3.conv2
0.6861 layer3.3.conv3
0.5695 layer3.4.conv1
0.7175 layer3.4.conv2
0.4095 layer3.4.conv3
0.2709 layer3.5.conv1
0.1899 layer3.5.conv2
0.6861 layer3.5.conv3
0.4095 layer4.0.conv1
0.0999 layer4.0.conv2
0.4095 layer4.0.conv3
0.7712 layer4.0.downsample.0
0.7175 layer4.1.conv1
0.4095 layer4.1.conv2
0.4685 layer4.1.conv3
0.0000 layer4.2.conv1
0.0000 layer4.2.conv2
0.2709 layer4.2.conv3
0.0000 fc
